born;precipitation;rainy.days;livestock.at.reproductive.age
3;10;1;20
1;76;6;16
2;67;3;16
0;130;6;22
0;158;10;22
2;27;2;22
1;21;2;19
2;28;3;19
1;105;3;19
0;53;2;19
0;34;2;19
1;60;4;19
0;91;4;19
1;35;3;19
0;89;4;17
3;179;9;29
0;174;8;29
3;27;3;29
2;26;2;33
1;0;0;35
1;102;5;35
2;118;6;35
2;40;4;35
1;89;5;34
1;45;3;34
2;62;4;34
1;80;3;34
2;169;6;35
2;119;3;39
2;38;1;39
1;70;3;36
2;0;0;36
1;50;4;36
2;140;6;36
3;122;6;34
0;0;0;34
1;0;0;34
5;28;3;46
4;169;5;46
1;151;7;46
0;109;4;46
1;46;2;42
1;80;3;42
2;18;1;41
2;66;3;41
2;128;6;41
0;82;6;41
2;60;4;44
1;17;1;44
2;0;0;44
4;253;9;44
1;123;7;43
4;149;5;43
2;89;4;43
